machine_id,defect_flag,temp_zone1,temp_zone2,pressure_main,vibration_motor,voltage_input,usage_hours,error_count_history
DEF-0022,1,65.28099463348202,54.014564683308485,101.84509207126008,2.8451915706104334,189.51623850711405,14561,7
NRM-0170,0,49.18386785884547,53.09912302491324,102.8156772758413,0.23518263402682263,219.814034416821,6739,4
NRM-0462,0,41.238114524295014,40.69635418302331,103.36194668805692,0.5333311634719688,222.36197981061133,1623,1
DEF-0349,1,53.61166882219231,63.35240308620606,73.92214150439767,1.2569929871871484,199.08944829012515,6751,12
DEF-0123,1,58.53790638177001,68.10266722582938,113.55741952891708,1.6969936867493034,197.5514819479116,14900,21
NRM-0400,0,48.86446996109537,44.2912122298623,100.67781708207355,0.6457037287029073,221.27521162446243,4244,0
NRM-0115,0,52.71044962400187,44.98624879482909,100.10530099182182,0.45433233294011155,221.2396182150606,6952,1
DEF-0284,1,72.95703141699742,63.093319687403245,82.8449643013056,3.033160253370711,193.4121340058813,15487,32
DEF-0430,1,68.54617568017945,59.775227066138086,74.7399951486784,2.525921153095739,198.74544922126535,18625,43
NRM-0241,0,54.72605767305742,47.50415795502106,95.6076309932897,0.648491782718524,218.72482491584807,854,0
DEF-0285,1,58.24538555144222,55.38433694771076,97.55727627660272,3.194277554425036,193.10956949508332,19126,42
DEF-0192,1,55.08607650543693,49.23304943198143,80.41557378465747,1.441528165274001,203.21007580068184,16081,6
DEF-0129,1,59.05535451861778,59.62783285449977,99.31008146326018,2.642160800746603,188.3232782064495,13407,23
DEF-0001,1,62.6586304305082,61.39520646100069,105.1577292720979,2.035297492781188,192.37415096410928,11420,37
DEF-0391,1,73.49102110743144,58.00424103574819,94.4977642765612,2.8889021520698526,201.2394797905396,9769,8
NRM-0045,0,51.38361486294158,40.41862949718138,106.77721400552748,0.7340397418393207,220.26859299449558,6494,3
NRM-0084,0,45.17167598238396,53.145831824504725,97.09108983303973,0.2652240071182055,219.60412454203063,5114,4
NRM-0171,0,48.77060622124783,43.05826530849421,98.47190444465843,0.6267322049548117,218.6036006507779,4811,4
NRM-0078,0,49.205321323356095,42.90764484741402,97.64669319136098,0.7900385261269377,221.90536082568335,7335,0
NRM-0101,0,51.75739950176101,41.56386734542995,91.10285275574186,0.7580522258092129,221.5282105926562,5174,2
DEF-0223,1,67.78329061220215,68.19744329708752,88.51060934937516,1.3032974415556657,199.4105239112044,10078,23
NRM-0129,0,46.735563209004674,51.573899127982514,97.17244355891177,0.7394372969244857,217.04786581645655,2560,1
NRM-0213,0,49.986399024454435,42.37184533007308,100.16203506670068,0.3655028807987328,220.44654167184052,7745,2
NRM-0403,0,45.75148351207803,47.30712416479259,106.5047075651585,0.38447715642701935,219.98327577775189,1745,3
NRM-0211,0,50.7666433106859,38.83113579222222,99.17629534947949,0.6852136491655821,217.00437308691914,1289,1
DEF-0385,1,66.42015412255232,60.66628616930639,63.76169935484685,3.1202235170363384,188.02333136873602,15965,21
NRM-0071,0,52.09102877943986,47.22099163645336,105.50661478867882,0.5933090622900254,222.69245151240548,9882,2
DEF-0417,1,40.698078728437295,56.59524462096623,76.47327619948769,3.089833053237642,194.2069166147434,18652,33
DEF-0042,1,57.07479261567299,59.42631779266551,97.57480918470685,3.192604155336097,188.99851796472112,5512,38
NRM-0066,0,48.84533775062335,48.42421368665788,95.17383699560772,0.3777461201610364,217.6645466247795,2746,1
NRM-0121,0,47.23539581316349,39.68105191948984,96.05076280475373,0.5470776521096025,217.34841245729152,9242,3
DEF-0304,1,79.80568055541889,56.453248560319665,95.15767234686449,3.1151178905795787,199.2074635223543,11048,49
NRM-0457,0,55.38935527913737,38.00460785907762,92.39856603879696,0.5901925269552953,222.01346014245414,1546,0
DEF-0336,1,73.72919186770787,56.85047372640794,87.67613097245585,3.060589028106318,193.60804414594512,6588,43
NRM-0114,0,56.206961656565944,43.25508974465832,95.7875125431665,0.5806382421521044,220.4046536297683,9153,0
DEF-0212,1,64.79981100655571,61.91805985393966,76.30201641327584,2.2742555367798007,199.3265845101019,7368,34
NRM-0237,0,52.7201892838689,31.64877001286595,109.01255929537378,0.6668985441409202,216.32293375502053,9907,1
NRM-0364,0,46.97421882197001,49.55209249842785,107.86867108277553,0.5913376021460799,217.0076823736707,209,0
NRM-0486,0,48.293450768950756,47.672718067280954,103.3128127493996,0.5282610248209622,218.3311425329647,4285,3
DEF-0446,1,75.39395053042138,62.48332367113687,87.6523945374694,3.5466526647131484,198.6965292041615,5160,32
NRM-0491,0,44.31549595702174,53.848885663126815,100.64109364296647,0.2645512505010837,220.55697016108948,1179,1
NRM-0246,0,48.77859530111733,47.1714803799768,96.56831576532588,0.3313196903085925,220.44447127326106,3976,3
NRM-0369,0,55.747953448493135,44.8501746675563,99.12117198037343,0.5892212725015815,218.12827955575526,7856,0
DEF-0152,1,58.04578370110024,59.79214951228738,120.30602945523168,1.90810057882929,186.47456665378138,13220,15
DEF-0187,1,66.66769619596518,60.99144688685933,86.10591266325788,2.644516371420352,198.75870136696787,18598,20
NRM-0495,0,47.26296238616563,42.824598873349906,103.86500464689694,0.6405101795436358,222.68534021882522,6918,4
DEF-0142,1,71.31446293533938,72.26921087072854,91.63003246601026,1.1329858886563364,195.84826444735427,13194,36
NRM-0323,0,51.79539148671578,41.67897828026884,90.46863838999647,0.5858356239749998,221.66327511790317,8545,4
DEF-0460,1,58.52684591669963,61.09496261666996,83.71026682002419,2.699209341091619,203.1407477287843,18340,44
DEF-0205,1,81.23396562299045,57.21254107496083,69.45295530631383,2.429374361318996,207.89854668827158,5769,39
NRM-0411,0,45.98595982525622,54.50134212155482,105.1152827762612,0.8287083018241058,220.78225575386546,9507,3
NRM-0309,0,39.49147835945099,45.42194097164151,95.27073669312023,0.4499783082008682,218.94690138115845,1877,4
NRM-0322,0,48.67307300447613,51.03911017310216,106.53639298549878,0.6711088769170926,218.06980065852684,8147,2
DEF-0479,1,56.23615266554697,56.8185522716096,76.08099060093419,2.613673796496276,197.87350630832674,5314,30
NRM-0069,0,47.98462005467485,38.67656784121971,107.64648275419766,0.5263289133838569,218.8208652320152,9998,1
NRM-0112,0,54.79359714161999,46.709525106327355,99.55710484590166,0.5261786975887591,217.42647741069453,9397,4
NRM-0061,0,44.03228862782485,57.22291376291253,97.28858831118669,0.14065239740438934,222.98075894038595,8964,0
DEF-0208,1,48.684991786158356,67.90477147451601,68.44249858886562,1.5222097623395487,189.88782310227117,8713,9
NRM-0464,0,53.419488821713536,49.42951161555604,103.65554265506282,0.4044990105167145,216.7254385211928,7288,2
DEF-0032,1,64.9530400532644,52.145940082361925,112.19773162797829,2.817419425016903,186.0837446891724,15757,39
DEF-0259,1,51.99098243485874,46.42946349754457,78.0075250025477,2.625102498334622,196.6598586697674,14817,8
NRM-0039,0,55.53318892109046,45.923552373905416,104.68957768755328,0.5024998643814501,225.73680611133355,4077,4
DEF-0247,1,58.79154780717357,53.53232128203168,106.16930842658637,3.1073687999358666,197.91943147187655,19042,31
NRM-0359,0,44.33084821596823,50.6678664539451,97.40831995062958,0.7530631961981251,219.04285061697496,2296,3
DEF-0154,1,63.870082181319134,53.87532474905524,91.33428408914553,3.4327309722971204,192.28697579120862,6823,6
NRM-0407,0,53.1933856994015,44.21265068120529,94.52617067885946,0.3944002277219287,221.76299789628985,8438,0
NRM-0336,0,56.28388439180448,44.85820535371313,97.44160720564876,0.34569063905397707,220.34119758892572,2970,0
DEF-0458,1,51.79176226121043,71.18141825397993,87.31275363504857,1.4855886340932989,204.52970674228783,19501,7
NRM-0276,0,52.923416409589606,43.14887204066823,101.95888261173471,0.3678278475546291,220.50138483204552,7235,1
DEF-0117,1,72.47980434061915,57.70744076236762,106.32810416433817,3.448168233208712,191.64980403222327,18192,38
NRM-0298,0,45.22256751364403,46.846655105780656,100.60523474940342,0.5993163341099853,216.57109189254967,3967,2
DEF-0276,1,72.8889929803345,58.64043999463282,90.4098414129626,1.4734580576561536,192.86786487443416,5612,36
NRM-0238,0,45.09570781787854,45.165573056958664,93.08253813732854,0.055511845081935074,221.44544195890631,5895,3
DEF-0005,1,71.64654342749851,63.89596317257502,73.48353365475249,3.4041825551176297,196.8655945736471,13226,18
DEF-0222,1,65.49053409274357,58.84649793402261,70.31580921991622,1.2498761717871372,188.34385103642964,11488,6
DEF-0382,1,57.6848659610367,54.884022443408526,74.5509799364138,1.9007748232359234,201.08686784875815,15180,17
NRM-0185,0,47.49135547535561,54.06703849257711,98.28560569221219,0.5556697269289339,218.98157327480172,3249,4
DEF-0245,1,67.43964321279245,60.81334999498766,77.15540145835276,2.3571120203621243,200.08770458303377,11279,46
NRM-0377,0,48.19376828536194,43.15085455727744,98.36031738811248,0.5349309361277935,218.24343837534198,5187,2
